mU	mW	eP	robustness	minRange	maxRange	min(CoRa)	optimalRho	negative_sol	oscilations	other_errors	steady_state	0.001	0.0016102620275609393	0.002592943797404667	0.0041753189365604	0.006723357536499335	0.010826367338740546	0.017433288221999882	0.02807216203941177	0.04520353656360243	0.0727895384398315	0.11721022975334802	0.18873918221350972	0.30391953823131973	0.48939009184774934	0.7880462815669912	1.2689610031679222	2.043359717856942	3.2903445623126686	5.298316906283709	8.531678524172808	13.73823795883263	22.122162910704493	35.62247890262442	57.36152510448679	92.36708571873861	148.73521072935117	239.5026619987486	385.6620421163472	621.0169418915616	1000.0
649.3816	3.6517	0.1155	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.4982203432232261	0.4985975437129383	0.4988947972613524	0.4991290478951498	0.49931364879590384	0.49945912314262036	0.4995737638161472	0.4996641060562296	0.49973529996811755	0.499791404090809	0.49983561675017696	0.49987045837999433	0.4998979152014294	0.49991955245013886	0.49993660360511183	0.4999500407053229	0.49996062976273525	0.4999689744303925	0.499975550414917	0.49998073259519554	0.4999848163931752	0.49998803461502844	0.4999905707228262	0.4999925692931567	0.4999941442590905	0.4999953854051443	0.49999636348568127	0.49999713425840886	0.49999774166299965	0.49999822032592994
20.5353	0.1155	3.6517	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.48999436978156174	0.49211446831939487	0.49378552255380415	0.49510254810584126	0.4961405032580462	0.49695849877421105	0.4976031364769571	0.4981111505409433	0.4985114940381139	0.49882698573290163	0.4990756090651059	0.4992715364167471	0.49942593658202844	0.49954761124018726	0.4996434965996322	0.49971905875351486	0.49977860525704215	0.49982553067400803	0.4998625100835746	0.499891651575055	0.49991461642212653	0.4999327137862665	0.4999469753478529	0.4999582141190675	0.4999670707913159	0.4999740502591808	0.49997955040301956	0.4999838847710052	0.49998730045363354	0.49998999216966195
0.0205	115.4782	0.0037	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.2315208441966865	0.2757066432784438	0.31603527975438267	0.3511282058211663	0.38064402633732386	0.4049008245738146	0.4245335394027455	0.4402678138010483	0.4527988916713512	0.46273945870268396	0.4706054847158665	0.4768202568607922	0.48172565413375	0.48559520714230064	0.4886465003090157	0.4910519994629986	0.49294810710245757	0.4944425563386545	0.4956203646797925	0.4965485883349726	0.4972800995091589	0.4978565781605727	0.4983108770513844	0.4986688891605558	0.49895102108479217	0.4991733550303687	0.49934856495310825	0.4994866387351127	0.4995954474005257	0.499681193737379
0.0087	0.0087	1.5399	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.4157785933961401	0.43315450329158617	0.4470775715284643	0.45816777154893007	0.4669680976413196	0.4739345059714935	0.4794406483502586	0.4837882888434466	0.487218963524104	0.48992492840393637	0.49205867911252427	0.4937409048483972	0.4950669859778083	0.4961122315665622	0.4969360669704007	0.4975853650437747	0.49809708762077703	0.49850037578015205	0.4988182017181944	0.4990686730276152	0.49926606192554734	0.49942161711284266	0.49954420400021704	0.49964080949017187	0.49971693991672855	0.4997769347271955	0.49982421372975966	0.49986147196671776	0.4998908333022862	0.49991397146818856
8.6596	8.6596	0.0015	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.4973161285930266	0.4978848971309373	0.4983331480713801	0.4986864114500404	0.49896481190039677	0.49918421193559537	0.49935711393493726	0.4994933715312971	0.4996007505500804	0.4996853712471581	0.4997520569257783	0.4998046087295252	0.49984602223177105	0.49987865814200944	0.49990437684488476	0.49992464443199913	0.49994061626519193	0.4999532028315938	0.49996312164248674	0.4999709381332464	0.4999770978951269	0.4999819520759206	0.4999857773971321	0.4999887919285855	0.4999911675196907	0.49999303959591823	0.49999451487894203	0.4999956774704412	0.4999965936464591	0.49999731563564104
273.842	0.2738	48.6968	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.48459499080928276	0.48785795261803927	0.490430433548052	0.49245821418850416	0.4940564668594282	0.4953160950087936	0.49630880447229603	0.49709113690531015	0.49770766646433157	0.49819352783150045	0.49857641277005776	0.4988781456329398	0.49911592598138776	0.4993033083363641	0.49945097451816195	0.4995673424086633	0.49965904574369036	0.49973131224129935	0.4997882615985358	0.499833140333944	0.49986850685756623	0.4998963773165314	0.4999183405288364	0.49993564855700456	0.49994928808443884	0.49996003666341526	0.4999685070411546	0.49997518209086106	0.4999804423389775	0.4999845876579495
0.2738	273.842	0.0487	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.15099353844548277	0.19539758589089548	0.2410513065262218	0.28469639457869256	0.32403315992313675	0.35795490023637844	0.3863090010027071	0.4095149833785586	0.42824674000689605	0.44323304037573963	0.45515527976778836	0.46460625928246574	0.47208155349792397	0.477985951544357	0.4826455286683075	0.4863207465299566	0.48921858366185844	0.49150299493525873	0.4933035994750875	0.49472274660439264	0.4958411919955428	0.49672262366741743	0.4974172546277053	0.4979646667529322	0.498396058123841	0.4987360170775542	0.49900392173547936	0.49921504362707236	0.4993814177540187	0.49951252841594046
0.0487	0.0487	0.0087	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.495105551568962	0.4961291244275981	0.4969410416481517	0.4975841297301913	0.49809292336823086	0.49849511800922014	0.4988128337677943	0.49906368364079456	0.4992616592199826	0.4994178554895946	0.49954105842797436	0.49963821815574716	0.49971482801107225	0.49977522710989597	0.49982284114348025	0.4998603736011405	0.4998899573679714	0.4999132747516084	0.49993165241636517	0.49994613641106495	0.49995755142813103	0.49996654758529663	0.49997363734322847	0.4999792246302003	0.4999836278134831	0.4999870978142367	0.4999898323904028	0.4999919873971252	0.4999936856633575	0.49999502398891776
48.6968	48.6968	8.6596	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.3098949494681703	0.34590740124153846	0.3763212834063902	0.40138521965812535	0.4217076572262934	0.4380132976383751	0.4510086979588843	0.46132214722829223	0.4694854361737778	0.4759361189831496	0.4810282177588168	0.48504527640941864	0.4882129870706678	0.4907103097770223	0.4926788151597426	0.49423033304960295	0.4954531206575406	0.4964167924761924	0.4971762391460925	0.49777473230549363	0.498246379483411	0.4986180626499962	0.49891096783270394	0.49914179147808785	0.49932369158766265	0.49946703748552856	0.4995800007817269	0.4996690211334681	0.4997391733132655	0.4997944564887659
1.5399	0.0015	0.2738	0.0	NaN	NaN	NaN	NaN	0.0	0.0	0.0	NaN	0.49913981279277214	0.499321706620116	0.4994652091474467	0.49957839608745386	0.49966765485015224	0.4997380334854459	0.49979351905965413	0.49983725912587995	0.49987173754992853	0.49989891387205626	0.49992033362795146	0.4999372155949391	0.49995052073720336	0.4999610066563427	0.4999692705745187	0.49997578325274494	0.49998091574841924	0.4999849605191274	0.49998814806424074	0.49999066004611775	0.4999926396344169	0.49999419966043335	0.49999542904481975	0.49999639786387773	0.4999971613426404	0.49999776300204174	0.499998237139231	0.4999986107823571	0.4999989052311115	0.49999913727076645
